,0,1,2,3,4,5
0,Parasitized,113.0,15160.0,0.0,0.0,0.0
1,Parasitized,163.5,18954.0,0.0,0.0,0.0
2,Parasitized,85.0,29.5,15201.0,0.0,0.0
3,Parasitized,46.0,196.0,13745.0,0.0,0.0
4,Parasitized,13593.0,0.0,0.0,0.0,0.0
5,Parasitized,43.5,106.0,16505.0,0.0,0.0
6,Parasitized,101.5,13635.5,0.0,0.0,0.0
7,Parasitized,118.5,13150.5,0.0,0.0,0.0
8,Parasitized,81.5,12485.0,0.0,0.0,0.0
9,Parasitized,135.5,12604.0,0.0,0.0,0.0
10,Parasitized,33.5,172.5,16174.0,0.0,0.0
11,Parasitized,164.0,13594.5,0.0,0.0,0.0
12,Parasitized,132.5,14083.5,0.0,0.0,0.0
13,Parasitized,133.5,13290.5,0.0,0.0,0.0
14,Parasitized,14826.0,0.0,0.0,0.0,0.0
15,Parasitized,29.5,158.5,11376.5,0.0,0.0
16,Parasitized,443.0,288.0,201.5,9096.0,0.0
17,Parasitized,156.0,13696.5,0.0,0.0,0.0
18,Parasitized,140.0,16382.5,0.0,0.0,0.0
19,Parasitized,73.5,15019.5,0.0,0.0,0.0
20,Parasitized,164.0,13617.0,0.0,0.0,0.0
21,Parasitized,0.0,0.0,105.0,10245.0,0.0
22,Parasitized,8259.0,0.0,0.0,0.0,0.0
23,Parasitized,100.0,13300.0,0.0,0.0,0.0
24,Parasitized,37.5,12891.0,0.0,0.0,0.0
25,Parasitized,104.5,11926.5,0.0,0.0,0.0
26,Parasitized,280.5,31.0,4670.0,0.0,0.0
27,Parasitized,141.5,13529.5,0.0,0.0,0.0
28,Parasitized,114.0,133.5,10801.0,0.0,0.0
29,Parasitized,2.0,139.5,9219.5,0.0,0.0
30,Parasitized,175.5,16026.0,0.0,0.0,0.0
31,Parasitized,125.0,10701.0,0.0,0.0,0.0
32,Parasitized,156.0,12308.5,0.0,0.0,0.0
33,Parasitized,135.5,11744.0,0.0,0.0,0.0
34,Parasitized,95.5,12745.0,0.0,0.0,0.0
35,Parasitized,134.0,14850.5,0.0,0.0,0.0
36,Parasitized,2.0,2.0,366.5,9118.5,0.0
